subid,age_days,looking_time_IDS,looking_time_ADS,gender,race_ethn_simple,moreLang,yearsEd,nSibs,careGender
1020,177,10.70725,11.754625,F,Caucasian,Y,20,1,F
1025,232,5.213625,7.449,M,Caucasian,N,16,1,F
1051,301,8.6925,7.64175,M,Caucasian,Y,22,0,F
1056,212,5.976,4.56425,M,Caucasian,N,17,0,F
1115,144,3.6428,6.6454,M,Caucasian,N,17,0,M
1164,394,8.873,8.020125,F,Caucasian,Y,17,0,F
1220,290,12.720875,8.05625,F,Caucasian,Y,16,0,F
1289,177,8.242,9.604875,M,Caucasian,Y,20,2,F
1327,446,7.331,6.199,M,Multiracial,N,16,0,F
1335,331,7.169125,7.838375,M,Caucasian,Y,18,1,F
1363,222,8.764125,5.983,M,Multiracial,Y,13,0,M
1399,303,3.105,4.399,M,Caucasian,N,17,0,F
1417,266,4.817,6.558625,M,,N,15,0,F
1460,359,7.602,5.958,F,Caucasian,Y,17,1,F
1470,336,11.849375,6.286,F,Caucasian,N,14,1,M
1524,185,4.038,5.746,M,American-Indian/Alaskan Native,N,13,3,F
1616,290,7.112,6.281,M,Caucasian,N,15,1,F
1696,182,16.31775,14.751375,F,Caucasian,N,18,0,F
1756,278,10.576375,9.267,M,Caucasian,N,18,1,F
1793,246,5.66025,6.318875,F,American-Indian/Alaskan Native,Y,13,0,F
1799,217,6.782,6.319,F,Caucasian,Y,12,0,F
1817,277,8.83475,7.0645,M,Multiracial,Y,18,0,F
1838,422,14.2966,11.3875,M,Caucasian,N,16,0,F
1896,357,10.6115,5.386,F,Caucasian,N,20,0,F
1934,167,10.285375,6.938375,M,Multiracial,Y,12,1,F
1937,330,5.967,7.428,F,Caucasian,Y,16,0,M
2065,273,7.302,5.954,M,Caucasian,N,15,0,F
2086,317,9.997125,9.835625,F,Caucasian,Y,19,2,F
2106,389,8.949,6.859,F,Caucasian,Y,16,0,F
2125,230,6.71,4.994,M,Caucasian,Y,17,1,F
2196,446,7.758875,4.225,F,Caucasian,N,18,0,M
2287,264,7.508875,5.43,M,Caucasian,N,17,0,F
2329,264,5.635,6.19925,F,Caucasian,N,18,1,F
2531,167,5.17425,4.267,M,Caucasian,Y,16,1,F
2566,174,7.13925,8.452625,F,Caucasian,N,16,0,F
2661,243,4.979,5.842,M,Caucasian,Y,12,3,F
2702,272,6.074875,5.968875,F,Caucasian,N,20,0,F
2739,386,12.21575,8.59,F,Caucasian,N,14,1,F
2920,185,11.89525,10.73825,M,American-Indian/Alaskan Native,N,13,3,F
